Molecular_Weight,Polar_Area,Complexity,XLogP,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,SMILES
-0.4647259918958102,-0.22478979946886976,-0.4986049278881814,-0.8,0.24491622303724883,-0.35316915326536946,0.4279905210015888,CC(=O)NCCCNCCCCNCCCN
-0.7453796352690158,-0.6833591355655265,-0.5893128529044511,3.3,-0.5734327250696595,-0.8506520437508999,-0.6511552367873044,C1=CC=C2C=CC=CC2=C1
-0.7599881825559727,-0.3591181908507187,-0.5575555709805161,-0.4,-0.3688454880429324,-0.6019105985081347,-0.5612264236382299,C1=CC(=CN=C1)C(=O)N
-0.7575972978123643,-0.39270028869618095,-0.5575555709805161,0.4,-0.3688454880429324,-0.47753987588675206,-0.5612264236382299,C1=CC(=CN=C1)C(=O)O
-0.6631211249134149,-0.5901398639600193,-0.5261786157862088,1.2,-0.5734327250696595,-0.6019105985081347,-0.5612264236382299,CN1CCCC1C2=CN=CC=C2
-0.9051680172650817,-0.31916707444835846,-0.648073332631972,-1.4,-0.5734327250696595,-0.47753987588675206,-0.6511552367873044,[N+](=O)([O-])[O-]
-0.9027336618897713,-0.3006390204646552,-0.6423684316875524,0.2,-0.3688454880429324,-0.47753987588675206,-0.6511552367873044,[N+](=O)(O)[O-]
-0.9438061637428498,-0.3793832498953942,-0.658817562743962,-0.8,-0.5734327250696595,-0.47753987588675206,-0.6511552367873044,N(=O)[O-]
-0.987257475164064,-0.40775433255793986,-0.658342154331927,0.1,-0.5734327250696595,-0.6019105985081347,-0.6511552367873044,N#N
-0.9486193286862958,-0.5727698133502974,-0.6414176148634826,0.5,-0.5734327250696595,-0.6019105985081347,-0.6511552367873044,[N-]=[N+]=O
-0.7622583155448533,-0.6648310815818231,-0.5969193874970105,2.3,-0.5734327250696595,-0.7262813211295173,-0.5612264236382299,CN(C)C1=CC=CC=C1
